data_referencia;carteira;faixa_atraso;faixa_publico;meta;peso
2024-08-01;CON;a) <= 30;Temprana;0.3866;0
2024-08-01;CON;b) 31 a 60;Temprana;0.1488;0
2024-08-01;CON;c) 61 a 90;Temprana;0.0735;0
2024-08-01;CON;d) 91 a 120;Tardia;0.0361;0
2024-08-01;CON;e) 121 a 180;Tardia;0.0193;0
2024-08-01;CON;f) 181 a 360;Tardia;0.0070;0
2024-08-01;CON;g) 361 a 720;Tardia;0.0032;0
2024-08-01;CON;h) > 720;Tardia;0.0016;0
2024-08-01;TARJETA_CREDITO;a) <= 30;Temprana;0.6054;0
2024-08-01;TARJETA_CREDITO;b) 31 a 60;Temprana;0.1883;0
2024-08-01;TARJETA_CREDITO;c) 61 a 90;Temprana;0.0785;0
2024-08-01;TARJETA_CREDITO;d) 91 a 120;Tardia;0.0343;0
2024-08-01;TARJETA_CREDITO;e) 121 a 180;Tardia;0.0214;0
2024-08-01;TARJETA_CREDITO;f) 181 a 360;Tardia;0.0132;0
2024-08-01;TARJETA_CREDITO;g) 361 a 720;Tardia;0.0056;0
2024-08-01;TARJETA_CREDITO;h) > 720;Tardia;0.0028;0
2024-08-01;MER;a) <= 30;Temprana;0.4044;0
2024-08-01;MER;b) 31 a 60;Temprana;0.1189;0
2024-08-01;MER;c) 61 a 90;Temprana;0.0558;0
2024-08-01;MER;d) 91 a 120;Tardia;0.0290;0
2024-08-01;MER;e) 121 a 180;Tardia;0.0182;0
2024-08-01;MER;f) 181 a 360;Tardia;0.0111;0
2024-08-01;MER;g) 361 a 720;Tardia;0.0092;0
2024-08-01;MER;h) > 720;Tardia;0.0109;0
2024-08-01;POINT;a) <= 30;Temprana;0.4118;0
2024-08-01;POINT;b) 31 a 60;Temprana;0.1060;0
2024-08-01;POINT;c) 61 a 90;Temprana;0.0497;0
2024-08-01;POINT;d) 91 a 120;Tardia;0.0291;0
2024-08-01;POINT;e) 121 a 180;Tardia;0.0151;0
2024-08-01;POINT;f) 181 a 360;Tardia;0.0079;0
2024-08-01;POINT;g) 361 a 720;Tardia;0.0048;0
2024-08-01;POINT;h) > 720;Tardia;0.0045;0
